[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],graphicD95 [ m^2.2 ]
4.84485403e-02, 2.48381465e+04
4.86487411e-02, 2.50016699e+04
4.88489419e-02, 2.51690195e+04
4.90491427e-02, 2.53403555e+04
4.92493436e-02, 2.55158516e+04
4.94495444e-02, 2.56956699e+04
4.96497452e-02, 2.58800059e+04
4.98499461e-02, 2.60690508e+04
5.00501469e-02, 2.62773477e+04
5.02503477e-02, 2.64927539e+04
5.04505485e-02, 2.67144668e+04
5.06507494e-02, 2.69428164e+04
5.08509502e-02, 2.71781445e+04
5.10511510e-02, 2.74208242e+04
5.12513518e-02, 2.76712637e+04
5.14515527e-02, 2.79298984e+04
5.16517535e-02, 2.81971914e+04
5.18519543e-02, 2.84736582e+04
5.20521551e-02, 2.87598594e+04
5.22523560e-02, 2.90563750e+04
5.24525568e-02, 2.93638809e+04
5.26527576e-02, 2.96830840e+04
5.28529584e-02, 3.00147773e+04
5.30531593e-02, 3.03598145e+04
5.32533601e-02, 3.06793281e+04
5.34535609e-02, 3.07195020e+04
5.36537617e-02, 3.07598613e+04
5.38539626e-02, 3.08004102e+04
5.40541634e-02, 3.08433125e+04
5.42543642e-02, 3.08886816e+04
5.44545650e-02, 3.09342930e+04
5.46547659e-02, 3.09801367e+04
5.48549667e-02, 3.10262168e+04
5.50551675e-02, 3.10716270e+04
5.52553684e-02, 3.11056934e+04
5.54555692e-02, 3.11398906e+04
5.56557700e-02, 3.11742305e+04
5.58559708e-02, 3.12086992e+04
5.60561717e-02, 3.12433027e+04
5.62563725e-02, 3.12780449e+04
5.64565733e-02, 3.13129121e+04
5.66567741e-02, 3.13479199e+04
5.68569750e-02, 3.13830664e+04
5.70571758e-02, 3.14183535e+04
5.72573766e-02, 3.14537734e+04
5.74575774e-02, 3.14893418e+04
5.76577783e-02, 3.15250391e+04
5.78579791e-02, 3.15784141e+04
5.80581799e-02, 3.16875801e+04
5.82583807e-02, 3.17980801e+04
5.84585816e-02, 3.19099434e+04
5.86587824e-02, 3.20231914e+04
5.88589832e-02, 3.21378594e+04
5.90591840e-02, 3.22539805e+04
5.92593849e-02, 3.23715801e+04
5.94595857e-02, 3.24906934e+04
5.96597865e-02, 3.26113633e+04
5.98599873e-02, 3.27336035e+04
6.00601882e-02, 3.28545742e+04
6.02603890e-02, 3.29667070e+04
6.04605898e-02, 3.30801875e+04
6.06607907e-02, 3.31950469e+04
6.08609915e-02, 3.33113164e+04
6.10611923e-02, 3.34290195e+04
6.12613931e-02, 3.35481953e+04
6.14615940e-02, 3.36688672e+04
6.16617948e-02, 3.37910820e+04
6.18619956e-02, 3.39148516e+04
6.20621964e-02, 3.40402266e+04
6.22623973e-02, 3.41672422e+04
6.24625981e-02, 3.42959258e+04
6.26627952e-02, 3.44263320e+04
6.28629923e-02, 3.45566992e+04
6.30631894e-02, 3.45693242e+04
6.32633865e-02, 3.45819688e+04
6.34635836e-02, 3.45946289e+04
6.36637807e-02, 3.46073008e+04
6.38639778e-02, 3.46199883e+04
6.40641749e-02, 3.46326992e+04
6.42643720e-02, 3.46454180e+04
6.44645691e-02, 3.46581602e+04
6.46647662e-02, 3.46709141e+04
6.48649633e-02, 3.46836914e+04
6.50651604e-02, 3.46964766e+04
6.52653575e-02, 3.47092852e+04
6.54655546e-02, 3.47221133e+04
6.56657517e-02, 3.47349453e+04
6.58659488e-02, 3.47478086e+04
6.60661459e-02, 3.47606797e+04
6.62663430e-02, 3.47735664e+04
6.64665401e-02, 3.47864766e+04
6.66667372e-02, 3.47993984e+04
6.68669343e-02, 3.48123320e+04
6.70671314e-02, 3.48252969e+04
6.72673285e-02, 3.48391094e+04
6.74675256e-02, 3.48557891e+04
6.76677227e-02, 3.48725156e+04
6.78679198e-02, 3.48892656e+04
6.80681169e-02, 3.49060391e+04
6.82683140e-02, 3.49228320e+04
6.84685111e-02, 3.49396641e+04
6.86687082e-02, 3.49565273e+04
6.88689053e-02, 3.49734141e+04
6.90691024e-02, 3.49903281e+04
6.92692995e-02, 3.50072813e+04
6.94694966e-02, 3.50242539e+04
6.96696937e-02, 3.50412539e+04
6.98698908e-02, 3.50495781e+04
7.00700879e-02, 3.50562148e+04
7.02702850e-02, 3.50628516e+04
7.04704821e-02, 3.50694961e+04
7.06706792e-02, 3.50761406e+04
7.08708763e-02, 3.50827930e+04
7.10710734e-02, 3.50894492e+04
7.12712705e-02, 3.50961133e+04
7.14714676e-02, 3.51136563e+04
7.16716647e-02, 3.51350742e+04
7.18718618e-02, 3.51565313e+04
7.20720589e-02, 3.51780352e+04
7.22722560e-02, 3.51995820e+04
7.24724531e-02, 3.52211875e+04
7.26726502e-02, 3.52428281e+04
7.28728473e-02, 3.52645273e+04
7.30730444e-02, 3.52862617e+04
7.32732415e-02, 3.53080508e+04
7.34734386e-02, 3.53298867e+04
7.36736357e-02, 3.53240547e+04
7.38738328e-02, 3.53114180e+04
7.40740299e-02, 3.52987969e+04
7.42742270e-02, 3.52861953e+04
7.44744241e-02, 3.52736133e+04
7.46746212e-02, 3.52610430e+04
7.48748183e-02, 3.52484883e+04
7.50750154e-02, 3.52359414e+04
7.52752125e-02, 3.52234219e+04
7.54754096e-02, 3.52109141e+04
7.56756067e-02, 3.51984297e+04
7.58758038e-02, 3.51859531e+04
7.60760009e-02, 3.51734883e+04
7.62761980e-02, 3.51610430e+04
7.64763951e-02, 3.51486055e+04
7.66765922e-02, 3.51361914e+04
7.68767893e-02, 3.51237969e+04
7.70769864e-02, 3.51114180e+04
7.72771835e-02, 3.50990313e+04
7.74773806e-02, 3.50866836e+04
7.76775777e-02, 3.50743477e+04
7.78777748e-02, 3.50620234e+04
7.80779719e-02, 3.50497148e+04
7.82781690e-02, 3.50374180e+04
7.84783661e-02, 3.50251484e+04
7.86785632e-02, 3.50128867e+04
7.88787603e-02, 3.50006367e+04
7.90789574e-02, 3.49883945e+04
7.92791545e-02, 3.49761719e+04
7.94793516e-02, 3.49639805e+04
7.96795487e-02, 3.49517891e+04
7.98797458e-02, 3.49396172e+04
8.00799429e-02, 3.49274570e+04
8.02801400e-02, 3.49153086e+04
8.04803371e-02, 3.49031836e+04
8.06805342e-02, 3.48910703e+04
8.08807313e-02, 3.48789609e+04
8.10809284e-02, 3.48668789e+04
8.12811255e-02, 3.48548125e+04
8.14813226e-02, 3.48427578e+04
8.16815197e-02, 3.48307148e+04
8.18817168e-02, 3.48186914e+04
8.20819139e-02, 3.48066758e+04
8.22821110e-02, 3.47946758e+04
8.24823081e-02, 3.47712305e+04
8.26825052e-02, 3.47431523e+04
8.28827024e-02, 3.47151602e+04
8.30828995e-02, 3.46872422e+04
8.32830966e-02, 3.46594063e+04
8.34832937e-02, 3.46320898e+04
8.36834908e-02, 3.46156328e+04
8.38836879e-02, 3.45992070e+04
8.40838850e-02, 3.45828047e+04
8.42840821e-02, 3.45664297e+04
8.44842792e-02, 3.45500781e+04
8.46844763e-02, 3.45337617e+04
8.48846734e-02, 3.45174648e+04
8.50848705e-02, 3.45011914e+04
8.52850676e-02, 3.44849531e+04
8.54852647e-02, 3.44687422e+04
8.56854618e-02, 3.44525508e+04
8.58856589e-02, 3.44363984e+04
8.60858560e-02, 3.44202578e+04
8.62860531e-02, 3.44168711e+04
8.64862502e-02, 3.44276641e+04
8.66864473e-02, 3.44384688e+04
8.68866444e-02, 3.44492930e+04
8.70868415e-02, 3.44601211e+04
8.72870386e-02, 3.44709648e+04
8.74872357e-02, 3.44818086e+04
8.76874328e-02, 3.44926836e+04
8.78876299e-02, 3.45035586e+04
8.80878270e-02, 3.45144453e+04
8.82880241e-02, 3.45253516e+04
8.84882212e-02, 3.45362656e+04
8.86884183e-02, 3.45471914e+04
8.88886154e-02, 3.45466836e+04
8.90888125e-02, 3.45359375e+04
8.92890096e-02, 3.45251914e+04
8.94892067e-02, 3.45144570e+04
8.96894038e-02, 3.45037305e+04
8.98896009e-02, 3.44930273e+04
9.00897980e-02, 3.44823320e+04
9.02899951e-02, 3.44716367e+04
9.04901922e-02, 3.44609648e+04
9.06903893e-02, 3.44503047e+04
9.08905864e-02, 3.44396523e+04
9.10907835e-02, 3.44290117e+04
9.12909806e-02, 3.44183828e+04
9.14911777e-02, 3.44077656e+04
9.16913748e-02, 3.43971563e+04
9.18915719e-02, 3.43865586e+04
9.20917690e-02, 3.43759766e+04
9.22919661e-02, 3.43654023e+04
9.24921632e-02, 3.43548477e+04
9.26923603e-02, 3.43442969e+04
9.28925574e-02, 3.43337578e+04
9.30927545e-02, 3.43232305e+04
9.32929516e-02, 3.43172539e+04
9.34931487e-02, 3.43150391e+04
9.36933458e-02, 3.43498047e+04
9.38935429e-02, 3.43846875e+04
9.40937400e-02, 3.44196953e+04
9.42939371e-02, 3.44552773e+04
9.44941342e-02, 3.44933594e+04
9.46943313e-02, 3.45319570e+04
9.48945284e-02, 3.45706953e+04
9.50947255e-02, 3.46095898e+04
9.52949226e-02, 3.46486367e+04
9.54951197e-02, 3.46878398e+04
9.56953168e-02, 3.47271992e+04
9.58955139e-02, 3.47667109e+04
9.60957110e-02, 3.48063867e+04
9.62959081e-02, 3.48462266e+04
9.64961052e-02, 3.48862109e+04
9.66963023e-02, 3.49263672e+04
9.68964994e-02, 3.49666797e+04
9.70966965e-02, 3.50071563e+04
9.72968936e-02, 3.50478047e+04
9.74970907e-02, 3.50886094e+04
9.76972878e-02, 3.51295859e+04
9.78974849e-02, 3.51707305e+04
9.80976820e-02, 3.52120430e+04
9.82978791e-02, 3.52509023e+04
9.84980762e-02, 3.52892344e+04
9.86982733e-02, 3.53277188e+04
9.88984704e-02, 3.53663438e+04
9.90986675e-02, 3.54051211e+04
9.92988646e-02, 3.54440547e+04
9.94990617e-02, 3.54831289e+04
9.96992588e-02, 3.55223555e+04
9.98994559e-02, 3.55617305e+04
1.00099653e-01, 3.56012656e+04
1.00299850e-01, 3.56433438e+04
1.00500047e-01, 3.56899961e+04
1.00700244e-01, 3.57368633e+04
1.00900441e-01, 3.57839414e+04
1.01100639e-01, 3.58312344e+04
1.01300836e-01, 3.58787539e+04
1.01501033e-01, 3.59264883e+04
1.01701230e-01, 3.59744492e+04
1.01901427e-01, 3.60226367e+04
1.02101624e-01, 3.60710469e+04
1.02301821e-01, 3.61196797e+04
1.02502018e-01, 3.61685586e+04
1.02702215e-01, 3.62257539e+04
1.02902412e-01, 3.62872969e+04
1.03102610e-01, 3.63491953e+04
1.03302807e-01, 3.64114844e+04
1.03503004e-01, 3.64852383e+04
1.03703201e-01, 3.65624414e+04
1.03903398e-01, 3.66402070e+04
1.04103595e-01, 3.67185547e+04
1.04303792e-01, 3.67975000e+04
1.04503989e-01, 3.68770430e+04
1.04704186e-01, 3.69571875e+04
1.04904383e-01, 3.70379336e+04
1.05104581e-01, 3.71193164e+04
1.05304778e-01, 3.72013164e+04
1.05504975e-01, 3.72867109e+04
