[Name]
Series 1 at /LINE:Line 1

[Data]
Y [ m ],graphicD95 [ m ]
5.50551675e-02, 2.36647583e+03
5.52553684e-02, 2.38253247e+03
5.54555692e-02, 2.39897729e+03
5.56557700e-02, 2.41582666e+03
5.58559708e-02, 2.43309790e+03
5.60561717e-02, 2.45080884e+03
5.62563725e-02, 2.46897974e+03
5.64565733e-02, 2.48763037e+03
5.66567741e-02, 2.50678394e+03
5.68569750e-02, 2.52646387e+03
5.70571758e-02, 2.54669556e+03
5.72573766e-02, 2.56750537e+03
5.74575774e-02, 2.58892358e+03
5.76577783e-02, 2.61097974e+03
5.78579791e-02, 2.63049438e+03
5.80581799e-02, 2.64027808e+03
5.82583807e-02, 2.65019043e+03
5.84585816e-02, 2.66023389e+03
5.86587824e-02, 2.67041211e+03
5.88589832e-02, 2.68072852e+03
5.90591840e-02, 2.69118555e+03
5.92593849e-02, 2.70178638e+03
5.94595857e-02, 2.71253491e+03
5.96597865e-02, 2.72343481e+03
5.98599873e-02, 2.73448901e+03
6.00601882e-02, 2.74643408e+03
6.02603890e-02, 2.76121655e+03
6.04605898e-02, 2.77628125e+03
6.06607907e-02, 2.79163745e+03
6.08609915e-02, 2.80729517e+03
6.10611923e-02, 2.82326465e+03
6.12613931e-02, 2.83955664e+03
6.14615940e-02, 2.85618286e+03
6.16617948e-02, 2.87315430e+03
6.18619956e-02, 2.89048462e+03
6.20621964e-02, 2.90818628e+03
6.22623973e-02, 2.92627246e+03
6.24625981e-02, 2.94475879e+03
6.26627952e-02, 2.96366113e+03
6.28629923e-02, 2.98283008e+03
6.30631894e-02, 2.99136670e+03
6.32633865e-02, 2.99998853e+03
6.34635836e-02, 3.00869873e+03
6.36637807e-02, 3.01749707e+03
6.38639778e-02, 3.02638623e+03
6.40641749e-02, 3.03536865e+03
6.42643720e-02, 3.04444385e+03
6.44645691e-02, 3.05361548e+03
6.46647662e-02, 3.06288452e+03
6.48649633e-02, 3.07225293e+03
6.50651604e-02, 3.08172192e+03
6.52653575e-02, 3.09129419e+03
6.54655546e-02, 3.10097192e+03
6.56657517e-02, 3.11075488e+03
6.58659488e-02, 3.12064868e+03
6.60661459e-02, 3.13065259e+03
6.62663430e-02, 3.14076953e+03
6.64665401e-02, 3.15100244e+03
6.66667372e-02, 3.16135205e+03
6.68669343e-02, 3.17182178e+03
6.70671314e-02, 3.18241479e+03
6.72673285e-02, 3.19409766e+03
6.74675256e-02, 3.20921533e+03
6.76677227e-02, 3.22458667e+03
6.78679198e-02, 3.24021899e+03
6.80681169e-02, 3.25611963e+03
6.82683140e-02, 3.27229639e+03
6.84685111e-02, 3.28875854e+03
6.86687082e-02, 3.30551392e+03
6.88689053e-02, 3.32257178e+03
6.90691024e-02, 3.33994312e+03
6.92692995e-02, 3.35763477e+03
6.94694966e-02, 3.37566040e+03
6.96696937e-02, 3.39402808e+03
6.98698908e-02, 3.40119287e+03
7.00700879e-02, 3.40615088e+03
7.02702850e-02, 3.41113477e+03
7.04704821e-02, 3.41614404e+03
7.06706792e-02, 3.42117871e+03
7.08708763e-02, 3.42623975e+03
7.10710734e-02, 3.43132739e+03
7.12712705e-02, 3.43644141e+03
7.14714676e-02, 3.44799414e+03
7.16716647e-02, 3.46197778e+03
7.18718618e-02, 3.47616064e+03
7.20720589e-02, 3.49054932e+03
7.22722560e-02, 3.50514819e+03
7.24724531e-02, 3.51996387e+03
7.26726502e-02, 3.53500049e+03
7.28728473e-02, 3.55026514e+03
7.30730444e-02, 3.56576245e+03
7.32732415e-02, 3.58149902e+03
7.34734386e-02, 3.59748169e+03
7.36736357e-02, 3.61054565e+03
7.38738328e-02, 3.62298706e+03
7.40740299e-02, 3.63558032e+03
7.42742270e-02, 3.64832861e+03
7.44744241e-02, 3.66123462e+03
7.46746212e-02, 3.67430176e+03
7.48748183e-02, 3.68753369e+03
7.50750154e-02, 3.70093311e+03
7.52752125e-02, 3.71450586e+03
7.54754096e-02, 3.72825293e+03
7.56756067e-02, 3.74218140e+03
7.58758038e-02, 3.75629297e+03
7.60760009e-02, 3.77059229e+03
7.62761980e-02, 3.78508423e+03
7.64763951e-02, 3.79977271e+03
7.66765922e-02, 3.81466309e+03
7.68767893e-02, 3.82975952e+03
7.70769864e-02, 3.84506714e+03
7.72771835e-02, 3.86059033e+03
7.74773806e-02, 3.87633643e+03
7.76775777e-02, 3.89230981e+03
7.78777748e-02, 3.90851440e+03
7.80779719e-02, 3.92495898e+03
7.82781690e-02, 3.94164673e+03
7.84783661e-02, 3.95858789e+03
7.86785632e-02, 3.97578540e+03
7.88787603e-02, 3.99324707e+03
7.90789574e-02, 4.01097949e+03
7.92791545e-02, 4.02899048e+03
7.94793516e-02, 4.04729053e+03
7.96795487e-02, 4.06588184e+03
7.98797458e-02, 4.08477661e+03
8.00799429e-02, 4.10398291e+03
8.02801400e-02, 4.12350781e+03
8.04803371e-02, 4.14336279e+03
8.06805342e-02, 4.16355566e+03
8.08807313e-02, 4.18409717e+03
8.10809284e-02, 4.20499902e+03
8.12811255e-02, 4.22627051e+03
8.14813226e-02, 4.24792383e+03
8.16815197e-02, 4.26996924e+03
8.18817168e-02, 4.29242090e+03
8.20819139e-02, 4.31529102e+03
8.22821110e-02, 4.33859424e+03
8.24823081e-02, 4.35574121e+03
8.26825052e-02, 4.37039502e+03
8.28827024e-02, 4.38522266e+03
8.30828995e-02, 4.40022803e+03
8.32830966e-02, 4.41541406e+03
8.34832937e-02, 4.43065771e+03
8.36834908e-02, 4.44298145e+03
8.38836879e-02, 4.45542676e+03
8.40838850e-02, 4.46799463e+03
8.42840821e-02, 4.48068750e+03
8.44842792e-02, 4.49350732e+03
8.46844763e-02, 4.50645605e+03
8.48846734e-02, 4.51953711e+03
8.50848705e-02, 4.53275049e+03
8.52850676e-02, 4.54610205e+03
8.54852647e-02, 4.55959277e+03
8.56854618e-02, 4.57322266e+03
